分组,队伍,号码,姓名,英文名,位置,出生日期,7m球员ID,备注
A,墨西哥,2,豪尔赫·桑切斯,Jorge Eduardo Sanchez Ramos,后卫,1997-12-10,,
A,墨西哥,3,塞萨尔·蒙特斯,Cesar Jasib Montes Castro,后卫,1997-2-24,,
A,墨西哥,5,巴斯克斯,Johan Felipe Vasquez Ibarra,后卫,1998-10-22,,
A,墨西哥,15,伊斯雷尔·雷耶斯,Israel Reyes Romero,后卫,2000-5-23,,
A,墨西哥,20,马泰奥·查韦斯,Mateo Chavez,后卫,2004-5-12,,
A,墨西哥,23,赫苏斯·加利亚多,Jesus Daniel Gallardo Vasconcelos,后卫,1994-8-15,,
A,墨西哥,4,埃德森·阿尔瓦雷斯,Edson Omar Alvarez Velazquez,中场,1997-10-24,,
A,墨西哥,6,埃里克·利拉,Erik Antonio Lira Mendez,中场,2000-5-8,,
A,墨西哥,7,路易斯·罗莫,Luis Francisco Romo Barron,中场,1995-6-5,,
A,墨西哥,8,阿尔瓦罗·菲达尔戈,Alvaro Fidalgo Fernandez,中场,1997-4-9,,
A,墨西哥,17,皮内达,Orbelin Pineda Alvarado,中场,1996-3-24,,
A,墨西哥,18,奥贝德·巴尔加斯,Obed Vargas,中场,2005-8-5,,
A,墨西哥,19,吉尔伯托·莫拉,Gilberto Mora,中场,2008-10-14,,
A,墨西哥,24,路易斯·查韦斯,Luis Gerardo Chavez Magallon,中场,1996-1-15,,
A,墨西哥,26,布莱恩·古铁雷斯,Brian Gutierrez,中场,2003-6-17,,
A,墨西哥,9,劳尔·希门尼斯,Raul Alonso Jimenez Rodriguez,前锋,1991-5-5,,
A,墨西哥,10,亚历克西斯·维加,Ernesto Alexis Vega Rojas,前锋,1997-11-25,,
A,墨西哥,11,圣地亚哥·希门尼斯,Santiago Gimenez,前锋,2001-4-18,,
A,墨西哥,14,阿曼多·冈萨雷斯,Armando Gonzalez Alba,前锋,2003-4-20,,
A,墨西哥,16,胡利安·基尼奥内斯,Julian Andres Quinones,前锋,1997-3-24,,
A,墨西哥,21,塞萨尔·韦尔塔,Cesar Saul Huerta Valera,前锋,2000-12-3,,
A,墨西哥,22,吉列尔莫·马丁内斯,Guillermo Martinez Ayala,前锋,1995-3-15,,
A,墨西哥,25,罗伯托·阿尔瓦拉多,Roberto Carlos Alvarado Hernandez,前锋,1998-9-7,,
A,墨西哥,1,何塞·兰赫尔,Jose Raul Rangel Aguilar,守门员,2000-2-25,,
A,墨西哥,12,卡洛斯·阿塞维多,Carlos Acevedo Lopez,守门员,1996-4-19,,
A,墨西哥,13,吉列尔莫·奥乔亚,Francisco Guillermo Ochoa Magana,守门员,1985-7-13,,
A,捷克,2,大卫·兹马,David Zima,后卫,2000-11-8,,
A,捷克,3,托马斯·霍莱什,Tomas Holes,后卫,1993-3-31,,
A,捷克,4,罗宾·赫拉纳克,Robin Hranac,后卫,2000-1-29,,
A,捷克,5,曹法尔,Vladimir Coufal,后卫,1992-8-22,,
A,捷克,6,斯捷潘·查卢佩克,Stepan Chaloupek,后卫,2003-3-8,,
A,捷克,7,拉吉斯拉夫·克雷伊奇,Ladislav Krejci,后卫,1999-4-20,,
A,捷克,14,大卫·尤拉塞克,David Jurasek,后卫,2000-8-7,,
A,捷克,20,雅罗斯拉夫·泽勒尼,Jaroslav Zeleny,后卫,1992-8-20,,
A,捷克,8,达里达,Vladimir Darida,中场,1990-8-8,,
A,捷克,12,卢卡斯·切尔夫,Lukas Cerv,中场,2001-4-10,,
A,捷克,15,帕威尔·苏尔克,Pavel Sulc,中场,2000-12-29,,
A,捷克,17,卢卡斯·普罗沃德,Lukas Provod,中场,1996-10-23,,
A,捷克,18,萨迪莱克,Michal Sadilek,中场,1999-5-31,,
A,捷克,21,大卫·杜德拉,David Doudera,中场,1998-5-31,,
A,捷克,22,绍切克,Tomas Soucek,中场,1995-2-27,,
A,捷克,24,亚历山大·索伊卡,Alexandr Sojka,中场,2003-4-2,,
A,捷克,25,雨果·索丘雷克,Hugo Sochurek,中场,2008-6-7,,
A,捷克,26,丹尼斯·维辛斯基,Denis Visinsky,中场,2003-3-21,,
A,捷克,9,亚当·赫洛泽克,Adam Hlozek,前锋,2002-7-25,,
A,捷克,10,希克,Patrik Schick,前锋,1996-1-24,,
A,捷克,11,扬·库赫塔,Jan Kuchta,前锋,1997-1-8,,
A,捷克,13,莫伊米尔·希蒂尔,Mojmir Chytil,前锋,1999-4-29,,
A,捷克,19,托马斯·乔里,Tomas Chory,前锋,1995-1-26,,
A,捷克,1,科瓦日,Matej Kovar,守门员,2000-5-17,,
A,捷克,16,斯塔内克,Jindrich Stanek,守门员,1996-4-27,,
A,捷克,23,卢卡斯·霍尼塞克,Lukas Hornicek,守门员,2002-7-13,,
A,韩国,2,李韩汎,Lee Han Beom,后卫,2002-6-17,,
A,韩国,3,李基赫,Lee Gi Hyuk,后卫,2000-7-7,,
A,韩国,4,金玟哉,Kim Min Jae,后卫,1996-11-15,,
A,韩国,5,金泰贤,Kim Tae Hyeon,后卫,2000-9-17,,
A,韩国,13,李太锡,Lee Tae Seok,后卫,2002-7-28,,
A,韩国,14,赵伟济,Cho Wi Je,后卫,2001-8-25,,
A,韩国,22,薛英佑,Seol Young Woo,后卫,1998-12-5,,
A,韩国,6,黄仁范,Hwang In Bum,中场,1996-9-20,,
A,韩国,8,白昇浩,Paik Seung Ho,中场,1997-3-17,,
A,韩国,10,李在城,Lee Jae Sung,中场,1992-8-10,,
A,韩国,15,金纹奂,Kim Moon Hwan,中场,1995-8-1,,
A,韩国,16,朴镇燮,Park Jin Seop,中场,1995-10-23,,
A,韩国,17,裴峻浩,Bae Jun Ho,中场,2003-8-21,,
A,韩国,19,李刚仁,Lee Kang In,中场,2001-2-19,,
A,韩国,20,杨贤俊,Yang Hyun Jun,中场,2002-5-25,,
A,韩国,23,卡斯特罗普,Jens Castrop,中场,2003-7-29,,
A,韩国,24,金镇圭,Kim Jin Gyu,中场,1997-2-24,,
A,韩国,25,严志成,Eom Ji Sung,中场,2002-5-9,,
A,韩国,26,李东炅,Lee Dong Gyeong,中场,1997-9-20,,
A,韩国,7,孙兴慜,Son Heung Min,前锋,1992-7-8,,
A,韩国,9,曹圭成,Cho Kyu Seong,前锋,1998-1-25,,
A,韩国,11,黄喜灿,Hwang Hee Chan,前锋,1996-1-26,,
A,韩国,18,吴贤揆,Oh Hyun Gyu,前锋,2001-4-12,,
A,韩国,1,金承奎,Kim Seung Gyu,守门员,1990-9-30,,
A,韩国,12,宋范根,Song Bum Keun,守门员,1997-10-15,,
A,韩国,21,赵贤祐,Jo Hyun Woo,守门员,1991-9-25,,
B,加拿大,2,阿利斯泰尔·约翰斯顿,Alistair Johnston,后卫,1998-10-8,,
B,加拿大,3,阿尔菲·琼斯,Alfie Jones,后卫,1997-10-7,,
B,加拿大,4,卢克·德富热罗勒,Luc De Fougerolles,后卫,2005-10-12,,
B,加拿大,5,乔尔·沃特曼,Joel Waterman,后卫,1996-1-24,,
B,加拿大,13,科尼利厄斯,Derek Cornelius,后卫,1997-11-25,,
B,加拿大,15,莫伊斯·邦比托,Moise Bombito,后卫,2000-3-30,,
B,加拿大,19,阿方索·戴维斯,Alphonso Davies,后卫,2000-11-2,,
B,加拿大,22,里士满·拉耶亚,Richmond Laryea,后卫,1995-1-7,,
B,加拿大,23,尼科·西古尔,Niko Sigur,后卫,2003-9-9,,
B,加拿大,6,马蒂厄·乔伊涅雷,Mathieu Choiniere,中场,1999-2-7,,
B,加拿大,7,欧斯塔基奥,Stephen Antunes Eustaquio,中场,1996-12-21,,
B,加拿大,8,伊斯梅尔·科内,Ismael Kone,中场,2002-6-16,,
B,加拿大,17,布坎南,Tajon Buchanan,中场,1999-2-8,,
B,加拿大,20,阿里·艾哈迈德,Ali Ahmed,中场,2000-10-10,,
B,加拿大,21,乔纳森·奥索里奥,Jonathan Osorio,中场,1992-6-12,,
B,加拿大,25,尼桑·萨利巴,,中场,2004-2-7,,
B,加拿大,9,塞勒·拉林,Cyle Larin,前锋,1995-4-17,,
B,加拿大,10,乔纳森·戴维,Jonathan Christian David,前锋,2000-1-14,,
B,加拿大,11,利亚姆·米勒,Liam Millar,前锋,1999-9-27,,
B,加拿大,12,奥卢瓦塞伊,Tanitoluwa Oluwatimikhin Oluwaseyi,前锋,2000-5-15,,
B,加拿大,14,沙费尔伯格,Jacob Shaffelburg,前锋,1999-11-26,,
B,加拿大,24,普罗米斯·戴维,Promise David,前锋,2001-7-3,,
B,加拿大,26,杰登·尼尔森,Jayden Nelson,前锋,2002-9-26,,
B,加拿大,1,戴恩·圣克莱尔,,守门员,1997-5-9,,
B,加拿大,16,克雷波,Maxime Crepeau,守门员,1994-5-11,,
B,加拿大,18,欧文·古德曼,Owen Goodman,守门员,2003-11-27,,
B,卡塔尔,2,佩德罗·米格尔,Pedro Miguel,后卫,1990-8-6,,
B,卡塔尔,3,卢卡斯·门德斯,Lucas Michel Mendes,后卫,1990-7-3,,
B,卡塔尔,4,伊萨·莱伊,Issa Laye,后卫,1997-12-22,,
B,卡塔尔,13,阿尤布·奥伊,,后卫,2005-3-11,,
B,卡塔尔,14,霍马姆·艾哈迈德,Homam Ahmed,后卫,1999-8-25,,
B,卡塔尔,16,布瓦勒姆·霍克希,Boualem Khoukhi,后卫,1990-7-9,,
B,卡塔尔,18,苏丹·布雷克,Sultan Al Brake,后卫,1996-4-7,,
B,卡塔尔,25,莫西·阿尔丁,,后卫,2003-8-15,,
B,卡塔尔,5,贾西姆·阿卜杜勒萨拉姆,Jassem Gaber Abdulsallam,中场,2002-2-20,,
B,卡塔尔,6,阿卜杜勒阿齐兹·哈特姆,Abdulaziz Hatem,中场,1990-10-28,,
B,卡塔尔,12,卡里姆·布迪亚夫,Karim Boudiaf,中场,1990-9-16,,
B,卡塔尔,20,艾哈迈德·法特希,Ahmed Fathi,中场,1993-1-25,,
B,卡塔尔,23,阿西姆·马迪博,Assim Omer Al Haj Madibo,中场,1996-10-22,,
B,卡塔尔,26,穆罕默德·曼奈,,中场,2003-10-30,,
B,卡塔尔,7,艾哈迈德·阿拉丁,Ahmed Alaaeldin Abdelmotaal,前锋,1993-1-31,,
B,卡塔尔,8,埃德米尔森·儒尼奥尔,,前锋,1994-8-19,,
B,卡塔尔,9,穆罕默德·蒙塔里,Mohammed Muntari,前锋,1993-12-20,,
B,卡塔尔,10,哈桑·海多斯,Hasan Al Haydos,前锋,1990-12-11,,
B,卡塔尔,11,阿克拉姆·阿菲夫,Akram Afif,前锋,1996-11-18,,
B,卡塔尔,15,阿卜杜里萨戈,Yusuf Abdurisag,前锋,1999-8-6,,
B,卡塔尔,17,艾哈迈德·加内希,Ahmed Al Ganehi,前锋,2000-9-22,,
B,卡塔尔,19,阿尔莫兹·阿里,Almoez Ali,前锋,1996-8-19,,
B,卡塔尔,24,塔赫辛·贾姆希德,Tahsin Mohammed Jamshid,前锋,2006-6-16,,
B,卡塔尔,1,阿布纳达,Mahmoud Abunada,守门员,2000-2-5,,
B,卡塔尔,21,萨拉赫·哈桑,Salah Zakaria Hassan,守门员,1999-4-24,,
B,卡塔尔,22,巴尔萨姆,Meshaal Issa Barsham,守门员,1998-2-14,,
B,波黑,2,尼哈德·穆亚基奇,Nihad Mujakic,后卫,1998-4-15,,
B,波黑,3,哈兹卡杜尼奇,Dennis Hadzikadunic,后卫,1998-7-9,,
B,波黑,4,穆哈雷莫维奇,Tarik Muharemovic,后卫,2003-2-28,,
B,波黑,5,科拉希纳茨,Sead Kolasinac,后卫,1993-6-20,,
B,波黑,7,阿马尔·德迪奇,Amar Dedic,后卫,2002-8-18,,
B,波黑,18,尼古拉·卡蒂奇,Nikola Katic,后卫,1996-10-10,,
B,波黑,21,斯捷潘·拉德利伊奇,Stjepan Radeljic,后卫,1997-9-5,,
B,波黑,24,尼达尔·切利克,Nidal Celik,后卫,2006-7-17,,
B,波黑,6,塔希罗维奇,Benjamin Tahirovic,中场,2003-3-3,,
B,波黑,8,吉戈维奇,Armin Gigovic,中场,2002-4-6,,
B,波黑,13,伊万·巴希奇,Ivan Basic,中场,2002-4-30,,
B,波黑,14,伊万·桑吉克,Ivan Sunjic,中场,1996-10-9,,
B,波黑,15,阿马尔·梅米奇,Amar Memic,中场,2001-1-20,,
B,波黑,16,哈吉艾哈迈托维奇,Amir Hadziahmetovic,中场,1997-3-8,,
B,波黑,17,布尔尼奇,Dzenis Burnic,中场,1998-5-22,,
B,波黑,19,阿拉杰贝戈维奇,Kerim Alajbegovic,中场,2007-9-21,,
B,波黑,20,埃斯米尔·巴伊拉克塔雷维奇,Esmir Bajraktarevic,中场,2005-3-10,,
B,波黑,26,艾露敏·马赫米克,Ermin Mahmic,中场,2005-3-14,,
B,波黑,9,萨迈德·巴兹达尔,Samed Bazdar,前锋,2004-1-31,,
B,波黑,10,德米洛维奇,Ermedin Demirovic,前锋,1998-3-25,,
B,波黑,11,哲科,Edin Dzeko,前锋,1986-3-17,,
B,波黑,23,哈里斯·塔巴科维奇,Haris Tabakovic,前锋,1994-6-20,,
B,波黑,25,乔沃·卢基奇,Jovo Lukic,前锋,1998-11-28,,
B,波黑,1,尼古拉·瓦西里,Nikola Vasilj,守门员,1995-12-2,,
B,波黑,12,姆拉迪亚德·尤卡,Mladen Jurkas,守门员,2007-10-27,,
B,波黑,22,马丁·兹洛米斯利奇,Martin Zlomislic,守门员,1998-8-16,,
B,瑞士,2,穆海姆,Miro Muheim,后卫,1998-3-24,,
B,瑞士,3,威德默,Silvan Widmer,后卫,1993-3-5,,
B,瑞士,4,尼科·埃尔维迪,Nico Elvedi,后卫,1996-9-30,,
B,瑞士,5,阿坎吉,Manuel Akanji,后卫,1995-7-19,,
B,瑞士,13,里卡多·罗德里格斯,Ricardo Ivan Rodriguez Araya,后卫,1992-8-25,,
B,瑞士,18,居马尔特,Eray Ervin Comert,后卫,1998-2-4,,
B,瑞士,24,奥雷勒·阿门达,Aurele Amenda,后卫,2003-7-31,,
B,瑞士,25,卢卡·杰奎斯,Luca Jaquez,后卫,2003-6-2,,
B,瑞士,6,扎卡里亚,Denis Lemi Zakaria Lako Lado,中场,1996-11-20,,
B,瑞士,8,弗罗伊勒,Remo Freuler,中场,1992-4-15,,
B,瑞士,9,约翰·曼扎姆比,Johan Manzambi,中场,2005-10-14,,
B,瑞士,10,扎卡,Granit Xhaka,中场,1992-9-27,,
B,瑞士,14,阿登·亚沙里,Ardon Jashari,中场,2002-7-30,,
B,瑞士,15,贾布里勒·索乌,Djibril Sow,中场,1997-2-6,,
B,瑞士,16,克里斯蒂安·法斯纳赫特,Christian Fassnacht,中场,1993-11-11,,
B,瑞士,20,米歇尔·埃贝彻尔,Michel Aebischer,中场,1997-1-6,,
B,瑞士,22,法比安·里德,Fabian Rieder,中场,2002-2-16,,
B,瑞士,7,恩博洛,Breel Donald Embolo,前锋,1997-2-14,,
B,瑞士,11,丹·恩多耶,Dan Ndoye,前锋,2000-10-25,,
B,瑞士,17,鲁本·巴尔加斯,Ruben Vargas,前锋,1998-8-5,,
B,瑞士,19,奥卡福尔,Noah Okafor,前锋,2000-5-24,,
B,瑞士,23,阿姆杜尼,Zeki Amdouni,前锋,2000-12-4,,
B,瑞士,26,伊滕,Cedric Jan Itten,前锋,1996-12-27,,
B,瑞士,1,格雷戈尔·科贝尔,Gregor Kobel,守门员,1997-12-6,,
B,瑞士,12,姆沃戈,Yvon Landry Mvogo Nganoma,守门员,1994-6-6,,
B,瑞士,21,马文·凯勒,Marvin Keller,守门员,2002-7-3,,
C,巴西,3,加布里埃尔,,后卫,1997-12-19,,
C,巴西,4,马尔基尼奥斯,,后卫,1994-5-14,,
C,巴西,6,阿莱士·桑德罗,Alex Sandro Lobo Silva,后卫,1991-1-26,,
C,巴西,13,达尼洛,,后卫,1991-7-15,,
C,巴西,14,布雷默,Gleison Bremer Silva Nascimento,后卫,1997-3-18,,
C,巴西,15,莱昂纳多·佩雷拉,Leonardo Pereira,后卫,1996-1-31,,
C,巴西,16,道格拉斯·桑托斯,Douglas Santos,后卫,1994-3-22,,
C,巴西,24,伊巴涅斯,,后卫,1998-11-23,,
C,巴西,2,埃德松,,中场,1999-7-7,,
C,巴西,5,卡塞米罗,Carlos Henrique Casemiro,中场,1992-2-23,,
C,巴西,8,布鲁诺·吉马良斯,Bruno Guimaraes Rodriguez Moura,中场,1997-11-16,,
C,巴西,17,法比尼奥,,中场,1993-10-23,,
C,巴西,18,达尼洛·德奥利维拉,,中场,2001-4-29,,
C,巴西,20,帕奎塔,,中场,1997-8-27,,
C,巴西,7,维尼修斯,,前锋,2000-7-12,,
C,巴西,9,库尼亚,Matheus Cunha,前锋,1999-5-27,,
C,巴西,10,内马尔,,前锋,1992-2-5,,
C,巴西,11,拉菲尼亚,,前锋,1996-12-14,,
C,巴西,19,恩德里克,,前锋,2006-7-21,,
C,巴西,21,路易斯·恩里克,Luiz Henrique Andre Rosa Da Silva,前锋,2001-1-2,,
C,巴西,22,马丁内利,Gabriel Teodoro Martinelli Silva,前锋,2001-6-18,,
C,巴西,25,伊戈尔·蒂亚戈,Igor Thiago Nascimento Rodrigues,前锋,2001-6-26,,
C,巴西,26,拉扬·维托,Rayan Vitor Simplicio Rocha,前锋,2006-8-3,,
C,巴西,1,阿利松,Alisson Ramses Becker,守门员,1992-10-2,,
C,巴西,12,韦弗顿,,守门员,1987-12-13,,
C,巴西,23,埃德森,,守门员,1993-8-17,,
C,摩洛哥,2,阿什拉夫,Achraf Hakimi,后卫,1998-11-4,,
C,摩洛哥,3,马兹拉维,Noussair Mazraoui,后卫,1997-11-14,,
C,摩洛哥,5,纳伊夫·阿格尔德,Naif Aguerd,后卫,1996-3-30,,
C,摩洛哥,13,埃尔·瓦赫迪,Zakaria El Ouahdi,后卫,2001-12-31,,
C,摩洛哥,14,伊萨·迪奥普,Issa Diop,后卫,1997-1-9,,
C,摩洛哥,18,沙迪·里亚德,Chadi Riad,后卫,2003-6-17,,
C,摩洛哥,19,尤瑟夫·贝拉马里,Youssef Belammari,后卫,1998-9-20,,
C,摩洛哥,25,哈尔哈尔,Redouane Halhal,后卫,2003-3-5,,
C,摩洛哥,26,萨拉赫·埃丁,,后卫,2002-1-18,,
C,摩洛哥,4,阿姆拉巴特,Sofyan Amrabat,中场,1996-8-21,,
C,摩洛哥,6,阿尤布·布阿迪,Ayyoub Bouaddi,中场,2007-10-2,,
C,摩洛哥,8,奥纳希,Azzedine Ounahi,中场,2000-4-19,,
C,摩洛哥,11,伊斯梅尔·萨伊瓦里,Ismael Saibari Ben El Basra,中场,2001-1-28,,
C,摩洛哥,15,萨米尔·穆拉贝,Samir El Mourabet,中场,2005-10-6,,
C,摩洛哥,23,比拉勒·汉努斯,Bilal El Khannous,中场,2004-5-10,,
C,摩洛哥,24,尼尔·埃纳奥伊,Neil El Aynaoui,中场,2001-7-2,,
C,摩洛哥,7,塔勒比,Chemsdine Talbi,前锋,2005-5-9,,
C,摩洛哥,9,苏菲安·拉希米,Soufiane Rahimi,前锋,1996-6-2,,
C,摩洛哥,10,卜拉欣·迪亚斯,Brahim Abdelkader Diaz,前锋,1999-8-3,,
C,摩洛哥,16,格西·亚辛,Gessime Yassine,前锋,2005-11-22,,
C,摩洛哥,17,阿布德,Abde Ezzalzouli,前锋,2001-12-17,,
C,摩洛哥,20,阿尤布·卡埃比,Ayoub El Kaabi,前锋,1993-6-25,,
C,摩洛哥,21,阿尤比,,前锋,2004-11-30,,
C,摩洛哥,1,亚辛·布努,Yassine Bounou,守门员,1991-4-5,,
C,摩洛哥,12,穆尼尔·穆罕梅迪,Munir Mohand Mohamedi,守门员,1989-5-10,,
C,摩洛哥,22,塔格诺提,Ahmed Reda Tagnaouti,守门员,1996-4-5,,
C,海地,2,卡伦斯·阿尔库斯,Carlens Arcus,后卫,1996-6-28,,
C,海地,3,基托·特尔蒙斯,Keeto Thermoncy,后卫,2006-3-29,,
C,海地,4,里卡多·阿德,Ricardo Ade,后卫,1990-5-21,,
C,海地,5,德尔克鲁瓦,Hannes Delcroix,后卫,1999-2-28,,
C,海地,8,马丁·埃斯佩里恩斯,Martin Experience,后卫,1999-3-9,,
C,海地,13,拉克鲁瓦,Markhus Duke Lacroix,后卫,1993-10-10,,
C,海地,22,杜维尔,Jean Kevin Duverne,后卫,1997-7-12,,
C,海地,24,威尔盖恩斯·帕凯恩,Wilguens Paugain,后卫,2001-8-24,,
C,海地,6,卡尔·圣,Carl Sainte,中场,2002-8-9,,
C,海地,7,德里克·埃蒂安,,中场,1996-11-25,,
C,海地,10,贝勒加德,Jeanricner Bellegarde,中场,1998-6-27,,
C,海地,14,莱弗顿·皮埃尔,Leverton Pierre,中场,1998-3-9,,
C,海地,17,雅克,Danley Jean Jacques,中场,2000-5-20,,
C,海地,25,多米尼克·西蒙,Dominique Simon,中场,2000-7-29,,
C,海地,26,奥利维尔·皮埃尔,Olivier Pierre,中场,2004-12-30,,
C,海地,9,纳松,Duckens Moses Nazon,前锋,1994-4-7,,
C,海地,11,路易修斯·迪德森,Louicius Deedson,前锋,2001-2-11,,
C,海地,15,鲁本·普罗维登斯,Ruben Providence,前锋,2001-7-7,,
C,海地,16,伦尼·约瑟夫,Lenny Joseph,前锋,2000-10-12,,
C,海地,18,威尔逊·伊西多尔,Wilson Isidor,前锋,2000-8-27,,
C,海地,19,福尔图恩,Yassin Fortune,前锋,1999-1-30,,
C,海地,20,弗兰茨·皮埃罗,Frantzdy Pierrot,前锋,1995-3-29,,
C,海地,21,约瑟夫·卡西米尔,Josue Casimir,前锋,2001-9-24,,
C,海地,1,普拉西德,Johny Placide,守门员,1988-1-29,,
C,海地,12,亚历山大·皮埃尔,Alexandre Pierre,守门员,2001-2-25,,
C,海地,23,迪韦尔热,Josue Duverger,守门员,2000-4-27,,
C,苏格兰,2,阿伦·希基,Aaron Hickey,后卫,2002-6-10,,
C,苏格兰,3,罗伯逊,Andrew Robertson,后卫,1994-3-11,,
C,苏格兰,5,格兰特·汉利,Grant Hanley,后卫,1991-11-20,,
C,苏格兰,6,蒂尔尼,Kieran Tierney,后卫,1997-6-5,,
C,苏格兰,13,杰克·亨德利,Jack Hendry,后卫,1995-5-7,,
C,苏格兰,15,约翰·苏塔,John Souttar,后卫,1996-9-25,,
C,苏格兰,16,海亚姆,Dominic John Hyam,后卫,1995-12-20,,
C,苏格兰,22,内森·帕特森,Nathan Patterson,后卫,2001-10-16,,
C,苏格兰,24,安东尼·罗尔斯顿,Anthony Ralston,后卫,1998-11-16,,
C,苏格兰,26,斯科特·麦克纳,,后卫,1996-11-12,,
C,苏格兰,4,麦克托米奈,,中场,1996-12-8,,
C,苏格兰,7,约翰·麦金,,中场,1994-10-18,,
C,苏格兰,8,泰勒·弗莱彻,Tyler Fletcher,中场,2007-3-19,,
C,苏格兰,11,瑞恩·克里斯蒂,Ryan Christie,中场,1995-2-22,,
C,苏格兰,17,本·多克,Ben Gannon Doak,中场,2005-11-11,,
C,苏格兰,19,刘易斯·弗格森,Lewis Ferguson,中场,1999-8-24,,
C,苏格兰,23,肯尼·麦克莱恩,,中场,1992-1-8,,
C,苏格兰,25,芬德雷·柯蒂斯,Findlay Curtis,中场,2006-10-1,,
C,苏格兰,9,林顿·戴克斯,Lyndon Dykes,前锋,1995-10-7,,
C,苏格兰,10,切·亚当斯,Che Adams,前锋,1996-7-13,,
C,苏格兰,14,罗斯·斯特沃德,Ross Stewart,前锋,1996-7-11,,
C,苏格兰,18,乔治·希斯特,George Hirst,前锋,1999-2-15,,
C,苏格兰,20,劳伦斯·尚克兰,Lawrence Shankland,前锋,1995-8-10,,
C,苏格兰,1,冈恩,Angus Gunn,守门员,1996-1-22,,
C,苏格兰,12,利阿姆·凯利,Liam Kelly,守门员,1996-1-23,,
C,苏格兰,21,克雷格·戈登,Craig Gordon,守门员,1982-12-31,,
D,土耳其,2,穆罕默德·切利克,Mehmet Zeki Celik,后卫,1997-2-17,,
D,土耳其,3,德米拉尔,Merih Demiral,后卫,1998-3-5,,
D,土耳其,4,瑟云聚,Caglar Soyuncu,后卫,1996-5-23,,
D,土耳其,13,埃伦·埃尔马利,Eren Elmali,后卫,2000-7-7,,
D,土耳其,14,巴尔达克奇,Abdulkerim Bardakci,后卫,1994-9-7,,
D,土耳其,15,奥赞·卡巴克,Ozan Muhammed Kabak,后卫,2000-3-25,,
D,土耳其,18,梅尔特·米尔迪尔,Mert Muldur,后卫,1999-4-3,,
D,土耳其,20,费迪·卡迪奥卢,Ferdi Kadioglu,后卫,1999-10-7,,
D,土耳其,25,萨米特·阿卡伊登,Samet Akaydin,后卫,1994-3-13,,
D,土耳其,5,厄兹詹,Salih Ozcan,中场,1998-1-11,,
D,土耳其,6,奥尔昆·柯克曲,Orkun Kokcu,中场,2000-12-29,,
D,土耳其,8,阿尔达·居莱尔,Arda Guler,中场,2005-2-25,,
D,土耳其,10,恰尔汗奥卢,Hakan Calhanoglu,中场,1994-2-8,,
D,土耳其,16,于克塞克,Ismail Yuksek,中场,1999-1-26,,
D,土耳其,22,卡安·艾汉,Kaan Ayhan,中场,1994-11-10,,
D,土耳其,26,伊尔玛兹·乌赞,Can Yilmaz Uzun,中场,2005-11-11,,
D,土耳其,7,阿克蒂尔科奥卢,Kerem Akturkoglu,前锋,1998-10-21,,
D,土耳其,9,德尼·古尔,Deniz Gul,前锋,2004-7-2,,
D,土耳其,11,凯南·伊尔迪兹,Kenan Yildiz,前锋,2005-5-4,,
D,土耳其,17,伊尔凡·卡赫韦奇,Irfan Can Kahveci,前锋,1995-7-15,,
